Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
335,3/10/2021 12:31:12.118,Temperature {NONE},88.5, °C,°C
336,3/10/2021 12:31:13.118,Temperature {NONE},88.5, °C,°C
337,3/10/2021 12:31:14.120,Temperature {NONE},88.4, °C,°C
338,3/10/2021 12:31:15.121,Temperature {NONE},88.4, °C,°C
339,3/10/2021 12:31:16.122,Temperature {NONE},88.4, °C,°C
340,3/10/2021 12:31:17.123,Temperature {NONE},88.3, °C,°C
341,3/10/2021 12:31:18.123,Temperature {NONE},88.3, °C,°C
342,3/10/2021 12:31:19.125,Temperature {NONE},88.3, °C,°C
343,3/10/2021 12:31:20.126,Temperature {NONE},88.3, °C,°C
344,3/10/2021 12:31:21.127,Temperature {NONE},88.3, °C,°C
345,3/10/2021 12:31:22.128,Temperature {NONE},88.3, °C,°C
346,3/10/2021 12:31:23.129,Temperature {NONE},88.3, °C,°C
347,3/10/2021 12:31:24.131,Temperature {NONE},88.3, °C,°C
348,3/10/2021 12:31:25.133,Temperature {NONE},88.3, °C,°C
349,3/10/2021 12:31:26.133,Temperature {NONE},88.2, °C,°C
350,3/10/2021 12:31:27.135,Temperature {NONE},88.1, °C,°C
351,3/10/2021 12:31:28.136,Temperature {NONE},88.1, °C,°C
352,3/10/2021 12:31:29.136,Temperature {NONE},88.1, °C,°C
353,3/10/2021 12:31:30.137,Temperature {NONE},88.2, °C,°C
354,3/10/2021 12:31:31.139,Temperature {NONE},88.1, °C,°C
355,3/10/2021 12:31:32.140,Temperature {NONE},88.1, °C,°C
356,3/10/2021 12:31:33.140,Temperature {NONE},88.1, °C,°C
357,3/10/2021 12:31:34.141,Temperature {NONE},88.0, °C,°C
358,3/10/2021 12:31:35.142,Temperature {NONE},88.0, °C,°C
359,3/10/2021 12:31:36.143,Temperature {NONE},87.8, °C,°C
360,3/10/2021 12:31:37.144,Temperature {NONE},87.9, °C,°C
361,3/10/2021 12:31:38.144,Temperature {NONE},87.9, °C,°C
362,3/10/2021 12:31:39.144,Temperature {NONE},87.7, °C,°C
363,3/10/2021 12:31:40.145,Temperature {NONE},87.7, °C,°C
364,3/10/2021 12:31:41.146,Temperature {NONE},87.7, °C,°C
365,3/10/2021 12:31:42.147,Temperature {NONE},87.7, °C,°C
366,3/10/2021 12:31:43.149,Temperature {NONE},87.7, °C,°C
367,3/10/2021 12:31:44.151,Temperature {NONE},87.6, °C,°C
368,3/10/2021 12:31:45.151,Temperature {NONE},87.7, °C,°C
369,3/10/2021 12:31:46.152,Temperature {NONE},87.8, °C,°C
370,3/10/2021 12:31:47.153,Temperature {NONE},87.8, °C,°C
371,3/10/2021 12:31:48.154,Temperature {NONE},87.7, °C,°C
372,3/10/2021 12:31:49.156,Temperature {NONE},87.6, °C,°C
373,3/10/2021 12:31:50.157,Temperature {NONE},87.6, °C,°C
